Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Australia,AUS,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079,..
"Population, total",SP.POP.TOTL,Austria,AUT,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,3894500,4045750,4168150,4293550,4439250,4574650,4708150,4832000,4948500,5063300,5172050,5282950,5391450,5493900,5594100,5689050,5781000,5876150,5976150,6071300,6160500,6257750,6357550,6459800,6567850,6670150,6770300,6875350,6974600,7076550,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,114500,120216,126305,132639,138785,144849,151323,158197,165456,172745,179129,184435,189181,193563,197767,201881,206096,210534,215016,219426,223752,227956,232177,236586,241166,245935,250804,255618,260452,265493,270679,276058,281973,288164,293997,299554,304933,310171,315398,320272,325014,329626,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,160691,166970,173359,179891,186587,193012,199019,204916,210801,216696,222555,230992,243143,256632,270627,285116,300044,315337,330912,346697,362595,377430,391017,404772,419217,434375,450196,466565,483337,500349,517418,535415,554470,573755,593254,612934,632756,652643,672484,692133,711442,730257,748324,778256,833451,901921,970981,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,50396429,51882769,53461661,55094115,56774465,58500159,60265259,62104488,63995652,65866908,67541860,68376204,69346705,71144818,72947807,74700345,76380080,78137788,80007550,81908151,83929765,86154836,88555336,91045478,93534239,95959099,98271746,100490256,102688833,104893674,107147651,109242834,111272102,113418757,115614891,117793338,119876868,122039226,124350471,126754824,129193327,131670484,134139826,136503206,138789725,140912590,142628831,144135934,145421318,146706810,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,..
"Population, total",SP.POP.TOTL,Barbados,BRB,232550,233698,234829,235875,236834,237694,238494,239238,239905,240594,241397,242350,243458,244643,245851,247090,248359,249663,251009,252334,253575,254684,255642,256505,257279,257911,258370,258654,258762,258759,258868,259402,260212,260995,261712,262303,262793,263224,263642,264170,264657,265377,266455,267499,268505,269477,270425,271444,272635,273791,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,..
"Population, total",SP.POP.TOTL,Belarus,BLR,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189348,10194050,10216470,10239050,10226955,10193831,10159569,10117433,10071963,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952,..
"Population, total",SP.POP.TOTL,Belize,BLZ,91403,93757,96188,98862,101772,104838,108062,111411,114825,118145,120905,123091,125054,126875,128620,130801,133471,136183,138933,141823,145133,148764,152409,156053,159721,163436,167191,170980,174817,178695,182589,186462,190299,194177,198416,203556,209840,217117,224907,232733,240406,248100,255987,263998,272128,280375,288729,297173,305671,314171,322106,329538,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031,..
"Population, total",SP.POP.TOTL,Benin,BEN,2512284,2551216,2593302,2638082,2685619,2735843,2788642,2843739,2901218,2961166,3023443,3088381,3156408,3227380,3301276,3378703,3460329,3546454,3636927,3732394,3833939,3941569,4054385,4171526,4293070,4419552,4551382,4688787,4831624,4979680,5133419,5293046,5457778,5706181,5923394,6046511,6203860,6387026,6584183,6788589,6998023,7212041,7431783,7659208,7894554,8149419,8402631,8647761,8906469,9172514,9445710,9726380,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,..
"Population, total",SP.POP.TOTL,Bermuda,BMU,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,221266,227071,233417,240268,247444,255010,262976,271339,280102,289296,298894,308837,319128,329800,340842,352269,364119,376387,389072,402063,415257,428641,442201,456033,470165,484528,499151,514026,529051,544209,558442,567710,545944,520838,521260,527536,537494,546865,557143,570990,587207,603234,619048,634627,649991,663323,673260,681614,689737,697678,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,..
"Population, total",SP.POP.TOTL,Bolivia,BOL,3707515,3784744,3864140,3945729,4029472,4115511,4204065,4295269,4389249,4486098,4585693,4688267,4793804,4902248,5013765,5127776,5244355,5363917,5486132,5610380,5736088,5862990,5991118,6120620,6251926,6385630,6521983,6661434,6804072,6949139,7096194,7244891,7394419,7544489,7693722,7841471,7989367,8137619,8286928,8439052,8592656,8746084,8900583,9057378,9216279,9377388,9542663,9711152,9880593,10051317,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3262539,3325333,3387512,3448532,3507959,3565517,3620849,3673367,3723067,3770376,3815561,3859242,3901895,3943152,3983063,4022090,4060039,4096516,4131521,4165511,4199820,4235970,4274013,4312521,4349597,4383306,4413374,4440300,4463320,4481230,4494310,4502386,4275730,3942981,3762330,3750527,3907751,4047748,4115059,4153014,4179350,4194932,4198410,4183757,4142860,4094297,4058086,4007876,3943392,3877750,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,..
"Population, total",SP.POP.TOTL,Botswana,BWA,512865,524403,536428,549041,562274,570975,574855,578723,582655,586737,592244,604139,626601,657246,691569,727930,766424,806968,849394,893500,938578,982747,1023009,1060717,1099170,1138704,1179263,1220361,1261272,1301671,1341474,1380584,1420695,1462262,1503544,1543634,1582169,1619354,1655699,1691558,1726985,1761930,1795130,1826863,1859085,1892807,1928704,1966977,2007320,2048997,2091664,2134037,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,..
"Population, total",SP.POP.TOTL,Brazil,BRA,73092515,75330008,77599218,79915555,82262794,84623747,86979283,89323288,91659246,94000381,96369875,98766288,101194394,103666904,106167372,108700515,111286504,113939886,116664382,119447303,122288383,125168060,128065095,130977370,133888775,136783180,139643355,142466264,145253973,148003411,150706446,153336445,155900790,158440875,160980472,163515328,166037122,168546707,171039804,173486281,175873720,178211881,180476685,182629278,184722043,186797334,188820682,190779453,192672317,194517549,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,..
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,7850,7885,7902,7919,7949,8018,8139,8337,8649,9117,9581,9813,9907,10018,10146,10282,10428,10578,10727,10876,11109,11472,11889,12315,12753,13202,13656,14117,14593,15091,15617,16090,16476,16855,17255,17674,18120,18591,19079,19586,20104,20657,21288,21982,22715,23497,24323,25191,26115,27044,27556,27962,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,85346,89561,93837,98277,102904,107686,112597,117628,122764,128012,133343,138666,143886,149065,154314,159653,165064,170560,176176,181951,187921,194099,200630,207523,214682,222119,229815,237712,245729,253821,261928,269860,277416,284713,291935,299097,306196,313215,320152,327045,333926,340748,347463,354045,360461,366717,372808,378748,384568,390311,396053,401506,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7867374,7943118,8012946,8078145,8144340,8204168,8258057,8310226,8369603,8434172,8489574,8536395,8576200,8620967,8678745,8720742,8758599,8804183,8814032,8825940,8861535,8891117,8917457,8939738,8960679,8960547,8958171,8971359,8981446,8876972,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,..
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,4783259,4852833,4924497,4998671,5076111,5157929,5242797,5330613,5422119,5515747,5611666,5707793,5805283,5907742,6018141,6138444,6269765,6416569,6577779,6749939,6932967,7123730,7321817,7531184,7751476,7979185,8207827,8434996,8663720,8895234,9131361,9365064,9598555,9840075,10091256,10353263,10621210,10897353,11201063,11533554,11882888,12249764,12632269,13030591,13445977,13876127,14316242,14757074,15197915,15650022,16116845,16602651,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,..
"Population, total",SP.POP.TOTL,Burundi,BDI,2746628,2815972,2887398,2948133,3033221,3118134,3193378,3274493,3352397,3424429,3497834,3582070,3579195,3571450,3660032,3749232,3830889,3927428,4039410,4137437,4312834,4490743,4602271,4726506,4842268,4948024,5041706,5157769,5271840,5373697,5483793,5594828,5743085,5555220,5586408,5932783,5930507,5923862,6035340,6180180,6307659,6465729,6648938,6860846,7120496,7388874,7658190,7944609,8278109,8709366,9126605,9455733,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,..
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,209849,214788,221484,228814,236362,244156,252238,260648,269408,278524,287262,293505,296818,299191,301682,304375,307015,309389,311685,313995,317234,321634,326319,330971,335473,339874,344271,348718,353233,358150,364563,372721,381947,391749,401655,411382,421007,430654,440214,449627,458251,465958,473231,480089,486583,492827,498884,504733,510336,515638,521212,527521,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925,..
"Population, total",SP.POP.TOTL,Cambodia,KHM,5541676,5664654,5788854,5913680,6040847,6170727,6299230,6426445,6553109,6679708,6708525,6696324,6766289,6852360,6913408,6727922,6307122,6040197,5961193,6051808,6198959,6364472,6619699,6881962,7133899,7376090,7661317,7975597,8269780,8570928,8910808,9259362,9718215,10243550,10636353,10919528,11182612,11431569,11669077,11899006,12118841,12338192,12561779,12787710,13016371,13246583,13477779,13714791,13943888,14155740,14363532,14573885,14786640,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,5117608,5200355,5303841,5427511,5556209,5690086,5829580,5975087,6127193,6286232,6452787,6627350,6809468,6998688,7194697,7397417,7598028,7796825,8013279,8243377,8519891,8829048,9046986,9240672,9508570,9804254,10112712,10433905,10759573,11089222,11430520,11777719,12128604,12486773,12848862,13211647,13575324,13941181,14314599,14698973,15091594,15493253,15914033,16354326,16809407,17275171,17751333,18251866,18777081,19319274,19878036,20448873,21032684,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,..
"Population, total",SP.POP.TOTL,Canada,CAN,17909356,18271000,18614000,18964000,19325000,19678000,20048000,20412000,20744000,21028000,21324000,21962032,22218463,22491777,22807969,23143275,23449808,23725843,23963203,24201544,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38037204,38246108,..
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,8473,8626,8799,8985,9172,9366,9566,9771,9981,10181,10533,11117,11778,12443,13118,13791,14456,15116,15746,16378,17100,17904,18729,19572,20433,21313,22195,23075,23956,24888,26027,27340,28677,30038,31418,32802,34194,35579,36947,38295,39658,41054,42456,43862,45286,46727,48177,49647,51123,52602,54074,55492,56860,58212,59559,60911,62255,63581,64884,66134,67311,68136,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,1679728,1710364,1742502,1776214,1811694,1849171,1888853,1930861,1975257,2021519,2067356,2111224,2153613,2195905,2239305,2283927,2318349,2342048,2365957,2390329,2415276,2441010,2467635,2495097,2523538,2553075,2583631,2615594,2657235,2724109,2809221,2898052,2991727,3089146,3187844,3276706,3363570,3458472,3555064,3655360,3759170,3844773,3930648,4026841,4115138,4208834,4294352,4375569,4467233,4564540,4660067,4732022,4773306,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,..
"Population, total",SP.POP.TOTL,Chad,TCD,3028688,3087657,3148242,3210296,3273419,3336338,3398664,3461664,3526770,3595152,3667394,3742534,3824399,3912905,4000559,4084110,4163051,4238551,4313479,4402942,4408230,4409225,4622828,4859173,4920556,4967590,5118160,5300852,5483038,5670619,5827069,6042428,6302926,6448280,6592998,6888856,7200291,7450874,7709115,7981889,8259137,8538804,8838369,9196366,9613503,10005012,10365614,10722731,11098664,11496128,11894727,12317730,12754906,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,109186,110225,111281,112410,113596,114832,116116,117430,118707,119884,121003,122162,123348,124465,125486,126393,127052,127425,127667,127850,127984,128510,129614,130881,132154,133450,134808,136264,137765,139228,140601,141557,142011,142291,142466,142559,142898,143549,144211,144811,145306,146044,147167,148341,149538,150763,151985,153225,154475,155721,156933,157819,158621,159794,160912,162190,163721,165215,167259,169410,171113,172683,..
"Population, total",SP.POP.TOTL,Chile,CHL,8141820,8313535,8486120,8656006,8825046,8994936,9161649,9326268,9491502,9656299,9820481,9984378,10145765,10307842,10472743,10639531,10804869,10969861,11137748,11304331,11469828,11637613,11807408,11976513,12147758,12326396,12514502,12712784,12918389,13128619,13342868,13561945,13782297,13998386,14210674,14416796,14615483,14809289,14996742,15176410,15351799,15523978,15693790,15859112,16017966,16175311,16334575,16495538,16661462,16833447,17004162,17173573,17341771,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,..
"Population, total",SP.POP.TOTL,China,CHN,667070000,660330000,665770000,682335000,698355000,715185000,735400000,754550000,774510000,796025000,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,..
"Population, total",SP.POP.TOTL,Colombia,COL,15687688,16182414,16691282,17210956,17739754,18275814,18811407,19343961,19872503,20392264,20905254,21405413,21898055,22396318,22897871,23403731,23913002,24443926,25003608,25579323,26176195,26785982,27405194,28042329,28689032,29326260,29960101,30603048,31256727,31923117,32601393,33272628,33939039,34614735,35295461,35970101,36632573,37291946,37944414,38585033,39215135,39837875,40454050,41057687,41648268,42220940,42772910,43306582,43815313,44313917,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,..
"Population, total",SP.POP.TOTL,Comoros,COM,194852,198617,202527,206546,210665,214939,219369,224321,229971,236002,242351,249066,256187,263728,271719,280036,288810,298152,307938,318123,328328,337986,347053,356137,365664,375650,386068,396887,408070,419584,431119,442277,452990,463318,473478,483760,494288,505033,515959,526443,536758,547741,559047,570130,581154,592683,604658,616899,629470,642493,656024,670071,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625,..
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,15276558,15673284,16086084,16517995,16965855,17438254,17941738,18472105,19022799,19583123,20151733,20712952,21273409,21853906,22448415,23052715,23655016,24256464,25015244,25902760,26708686,27457783,28219219,29005175,29879852,30800051,31725132,32712574,33750052,34825891,35987541,37194812,38332302,39580844,41511985,43285791,44118709,44822198,45895524,47227238,48616317,50106657,51662071,53205639,54815607,56550247,58381630,60289422,62249724,64270232,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,1055693,1083431,1112348,1142600,1174269,1207412,1242116,1278312,1316130,1355699,1396989,1440159,1485274,1532069,1580280,1624935,1665418,1706181,1747207,1788218,1829256,1870540,1911634,1951851,2001739,2062555,2124863,2188654,2253336,2319177,2385435,2452675,2520958,2594168,2669220,2742309,2816595,2875037,2937166,3016659,3134030,3254101,3331158,3424653,3543012,3672839,3813323,3956329,4089602,4257230,4437884,4584216,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,1346302,1396138,1447037,1498647,1550661,1602736,1654619,1706062,1756333,1805968,1855697,1905486,1955547,2006247,2058235,2111850,2167544,2225630,2286210,2349258,2414303,2481334,2550780,2622532,2696200,2771463,2847849,2924595,3001461,3079001,3158253,3239414,3321939,3405372,3489152,3572856,3656234,3739421,3821421,3901430,3979193,4053222,4122623,4188610,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,3708661,3848336,3998287,4156453,4321368,4492890,4671196,4856689,5050106,5255149,5477086,5718867,5979984,6257373,6548923,6853981,7142690,7415900,7700816,7996368,8303810,8621621,8948119,9282050,9621405,9964075,10309440,10663498,11043193,11462943,11910540,12369269,12838314,13316448,13802285,14299727,14810946,15335453,15858990,16345894,16799670,17245468,17683897,18116451,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4140181,4167292,4196712,4225675,4252876,4280923,4310701,4338683,4365628,4391490,4412252,4431275,4450564,4470161,4490660,4512082,4535934,4559571,4581085,4594778,4599782,4611509,4634234,4658254,4680285,4701417,4721446,4739745,4755207,4767260,4777368,4689022,4575818,4600463,4652024,4620030,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3899000,..
